temperatureMax,temperatureMaxTime,windBearing,icon,dewPoint,temperatureMinTime,cloudCover,windSpeed,pressure,apparentTemperatureMinTime,apparentTemperatureHigh,precipType,visibility,humidity,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureMax,uvIndex,time,sunsetTime,temperatureLow,temperatureMin,temperatureHigh,sunriseTime,temperatureHighTime,uvIndexTime,summary,temperatureLowTime,apparentTemperatureMin,apparentTemperatureMaxTime,apparentTemperatureLowTime,moonPhase
11.96,11/11/2011 23:00,123,fog,9.4,11/11/2011 7:00,0.79,3.88,1016.08,11/11/2011 7:00,10.87,rain,3.3,0.95,11/11/2011 19:00,10.87,11.96,1,11/11/2011 0:00,11/11/2011 16:19,10.87,8.85,10.87,11/11/2011 7:12,11/11/2011 19:00,11/11/2011 11:00,Foggy until afternoon.,11/11/2011 19:00,6.48,11/11/2011 23:00,11/11/2011 19:00,0.52
8.59,12/11/2011 14:00,198,partly-cloudy-day,4.49,12/11/2011 1:00,0.56,3.94,1007.71,12/11/2011 2:00,5.62,rain,12.09,0.88,12/11/2011 19:00,-0.64,5.72,1,12/11/2011 0:00,12/11/2011 15:52,3.09,2.48,8.59,12/11/2011 7:57,12/11/2011 14:00,12/11/2011 12:00,Partly cloudy throughout the day.,12/12/2011 7:00,0.11,12/11/2011 20:00,12/12/2011 8:00,0.53
10.33,12/27/2011 2:00,225,partly-cloudy-day,5.47,12/27/2011 23:00,0.85,3.54,1032.76,12/27/2011 22:00,10.33,rain,13.39,0.74,12/27/2011 14:00,5.52,10.33,0,12/27/2011 0:00,12/27/2011 15:57,8.03,8.03,10.33,12/27/2011 8:07,12/27/2011 14:00,12/27/2011 0:00,Mostly cloudy throughout the day.,12/27/2011 23:00,5.59,12/27/2011 2:00,12/28/2011 0:00,0.1
8.07,12/2/2011 23:00,232,wind,3.69,12/2/2011 7:00,0.32,3,1012.12,12/2/2011 7:00,5.33,rain,11.89,0.87,12/2/2011 12:00,3.26,5.33,1,12/2/2011 0:00,12/2/2011 15:56,6.33,2.56,7.36,12/2/2011 7:46,12/2/2011 12:00,12/2/2011 10:00,Partly cloudy throughout the day and breezy overnight.,12/2/2011 19:00,0.46,12/2/2011 12:00,12/2/2011 19:00,0.25
8.22,12/24/2011 23:00,252,partly-cloudy-night,2.79,12/24/2011 7:00,0.37,4.46,1028.17,12/24/2011 7:00,5.02,rain,13.16,0.8,12/24/2011 15:00,4.37,5.32,1,12/24/2011 0:00,12/24/2011 15:55,7.45,3.17,7.93,12/24/2011 8:06,12/24/2011 15:00,12/24/2011 13:00,Mostly cloudy throughout the day.,12/24/2011 19:00,-0.51,12/24/2011 23:00,12/24/2011 20:00,0.99
7.97,12/15/2011 14:00,234,wind,2.41,12/15/2011 0:00,0.42,4.71,996.75,12/15/2011 0:00,4.25,rain,12.79,0.77,12/15/2011 14:00,-2.58,4.38,1,12/15/2011 0:00,12/15/2011 15:52,1.8,4.08,7.97,12/15/2011 8:00,12/15/2011 14:00,12/15/2011 11:00,Partly cloudy throughout the day and breezy in the morning.,12/16/2011 8:00,1.07,12/15/2011 21:00,12/16/2011 8:00,0.66
13.19,11/19/2011 14:00,117,fog,8.12,11/19/2011 23:00,0.26,2.37,1016.8,11/19/2011 8:00,13.19,rain,6.63,0.92,11/19/2011 14:00,4.76,13.19,1,11/19/2011 0:00,11/19/2011 16:08,4.76,7.48,13.19,11/19/2011 7:26,11/19/2011 14:00,11/19/2011 10:00,Foggy starting in the evening.,11/20/2011 8:00,5.98,11/19/2011 14:00,11/20/2011 8:00,0.79
8.32,11/16/2011 23:00,117,fog,5.58,11/16/2011 7:00,0.81,2.36,1017.4,11/16/2011 4:00,6.64,rain,3.69,0.93,11/16/2011 14:00,4.68,7.14,1,11/16/2011 0:00,11/16/2011 16:12,6.93,5.19,8.18,11/16/2011 7:20,11/16/2011 14:00,11/16/2011 11:00,Foggy starting in the evening.,11/16/2011 19:00,2.93,11/16/2011 23:00,11/16/2011 19:00,0.68
9.82,12/12/2011 23:00,221,wind,4.1,12/12/2011 7:00,0.38,5.02,1002.47,12/12/2011 8:00,5.18,rain,12.05,0.84,12/12/2011 16:00,2.71,5.94,1,12/12/2011 0:00,12/12/2011 15:52,6.88,3.09,8.53,12/12/2011 7:58,12/12/2011 19:00,12/12/2011 11:00,Partly cloudy throughout the day and breezy starting in the evening.,12/13/2011 8:00,-0.64,12/12/2011 23:00,12/13/2011 8:00,0.56
9.71,11/20/2011 14:00,115,fog,6.62,11/20/2011 8:00,0.41,1.24,1018.82,11/20/2011 8:00,9.54,rain,2.64,0.96,11/20/2011 15:00,5.95,9.54,1,11/20/2011 0:00,11/20/2011 16:07,7.1,4.76,9.71,11/20/2011 7:27,11/20/2011 14:00,11/20/2011 10:00,Foggy in the morning.,11/21/2011 2:00,4.76,11/20/2011 15:00,11/21/2011 1:00,0.82
